#
# This file supplies the long descriptions for each rules
#
# These long descriptions are stored separately because they are just text
# descriptions.   They are stored like a CLOB field, which databases typically 
# store separately from other columns in the table.
#
# ==============================================================================
#
#    | Long
# ID | Description
#--- | -------------------------------------------------------------------------
# General Rules
r419 | Date or Timestamp attribute names are paired as shown in this list: 1) Effective Date/Expiration Date, 2) Effective Date/Termination Date, 3) Effective Timestamp/Expiration Timestamp, 4) Effective Timestamp/Termination Timestamp, 5) Begin Date/End Date, 6) Begin Timestamp/End Timestamp, 7) Start Date/Cancel Date, 8) Start Timestamp/Cancel Timestamp
r420 | Tables must include certain audit columns in a certain order.
#
# The following rules run during the final, cross-referencing phase
r260 | Data Model table names must be unique. Column names within a table must also be unique.
r299 | Each column should use the same datatype and size in all tables.
#
r401 | Create Table commands must include the following key words in the command: NO AFTER JOURNAL, NO BEFORE JOURNAL.  This rules checks that all expected content is present pertaining to table storage.
r402 | No unexpected content should be found. (All content should be expected) Create Table commands must not include the FALLBACK attribute. It is Ok to say NO FALLBACK. If the Create Table command includes that it will actually be removed, because the Teradata Intelliflex technology used at Cigna will make the decision whether to implement Fallback or not.   Nevertheless, we do not want to explicitly specify FALLBACK. Also, transient tables may not be defined.    Transient tables are recognized when the following words are seen: VALIDTIME, TRANSACTIONTIME
r403 | Create Table commands must also include the following key words in the command: PRIMARY INDEX  In other words, a primary index must be defined for each table.
r405 | When collecting statistics on a table, all the columns for collecting statistics must be consolidated into a single statement.   That way the server only needs to make 1 pass through the table.  If you collect statistics on 5 columns with 5 commands, that would require 5 passes, which takes longer.  It is so important that we avoid wasting deployment time unnecessarily that this is classified as an error. 
r406 | Views must be created with the clause: LOCKING ROW FOR ACCESS.  Teradata allows a few variations on the syntax.  Some variation of the access clause must be found for views. 
r407 | A simple ALTER TABLE command may not be used.  While it is a valid command to Teradata, there are performance problems associated with altering tables to add and drop columns.  Certain Alter Table commands are allowed..., if they are supporting foreign key constraints.   See the chapter later in this user guide for more info about how to Alter Tables.  All other kinds of Alter Table commands are not allowed.
r408 | Backup table names must use the _BAK suffix.
r411 | The Rules Engine will report an error if it sees a view being created in a database designated for tables.  And vice versa – tables should not be created in a database designated for views.  
r412 | Do not insert with Select *.
r413 | When creating a view, the name of the view should include the name of the database where the view should be created. 
r415 | The Rules Engine will report a warning if it sees a BASE table defined as MULTISET.   Exceptions have been made for certain tables, so this is not classified as an ERROR.
r416 | DDL scripts should use simple plain text, and not use control characters. 
r421 | Only the ISG DBAs are allowed to manage permissions.
# 
# The following rule checks table storage
r308 | If a Hive table specifies how to store the file, it should be stored using the PARQUE storage method. When this rule is developed, it will be classified as an Error.
# DML Rules
r500 | Please do not use Cross Joins.  A Cross Join is a Cartesian product.  It will join every row from the first table to every row in the second table.  You might intend to filter out the extra rows later with a Where clause, but it causes extra work.  Use an equi-join, or a subquery to only select the necessary rows to start with.
r501 | When 20 or more values specified in an IN clause, it will help loading those values in a skinny table and join the table instead of IN clause.  Use Left/Right join instead of IN/NOT IN.
r502 | When using LEFT JOIN, if the right table column is added to the WHERE clause (not null/value based), LEFT JOIN is implemented as INNER JOIN.  In these cases, use INNER JOIN or move the right table WHERE clause to ON clause.
r503 | Volatile tables should be created either as MULTISET, or as a SET table with a unique primary index to enforce the uniqueness.  To enforce this rule, a specific table set type must be explicitly specified.   
r504 | Use COALESCE instead of NVL. Both offer similar functionality but COALESCE is suggested with TD
r505 | Excessively long SQL statements are prone to error, difficult to maintain, and likely a substitute for a better design.
r404 | All tables should have a Primary Index.  Not all table need to DEFINE a Primary Key.    (Many would agree that alll tables SHOULD have a Primary Key.   Some teams may choose to not check for Uniqueness.) Teradata uses the Primary Index to improve parallelism by distributing rows evenly across all available AMPs.
r506 | Table aliasing helps in simplifying the query coding as long table names can be replaced by Alias while referring columns.  Table alias replaces the table name with alias name for that specific query.  When using alias for a table, always use the alias while referring columns in Select, Filter, Join clauses.  Using original table name in place of alias will not throw error but will result in cross join of the same table (causes query spool out)
# 
# r507 | Avoid using SELECT * in queries unless all columns form the table are required.  For queries, using SELECT * brings all column in the spool. Instead specifically mention the list of columns being used in the query.  Even when all columns are needed, it is best to list them specifically, to avoid unexpected impact from possible changes to the source in the future.
#
r508 | Specify data filters (WHERE clause) when updating data rows in table.  Updates without filters tend to lock whole table, making table data inaccessible to others.
r509 | This rule is related to the idea of rule (-c) to avoid cross joins, aka Cartesian products.    In a Cartesian product, all the rows from one table are joined to all the rows of a second table.    That combination could explode the workload and space usage, and nobody has identified an application that actually needs it, so it is worthwhile to try to avoid Cartesian products.
#
#
r422 | A table with REFERENCE in the name should probably be either put into a Code Set or made an application table in the appropriate subject area, even if the this contains business-supplied data.
r423 | The termination date or timestamp (or Expiration, End or Cancel) as part of the unique index may be incorrect because this would allow for multiple effective, begin or start dates with different termination dates.
r424 | The class word Count indicates an integer data type that can be summed.
r425 | Numeric dollar or currency data. Amount class word (AMT) should have data type Number
r426 | A calendar date containing year, month and day. Date class word (DT) should have data type date.
r427 | A statement which defines or explains something. Many times used in conjunction with a Code attribute. Description class word (DESC) should have data type varchar(255).
r428 | A value (number or string) uniquely assigned to represent a specific occurrence of an element. Examples include a Software Version, Person, and Client. Identifier class word (ID) should have data type number or varchar.
r429 | A single character that represent two mutually exclusive (valdtn_ref_STD_SET_NM, CLSS_WORD_LGCL_NM, CRET_TS, CLSS_WORD_PHY_NM, CLSS_WORD_DESC, CLSS_WORD_LGCL_DATA_TY_CD) values (true or false). Indicator class word (IND) should have data type char(1).
r430 | For use strictly for key fields that are an unintelligent\system generated unique identifier. The classword of KEY will be used (rather than ID or some other distinguishing convention) to denote the unintelligent\system generated Primary/Foreign key. Key class word (KEY) should have data type char(32) to allow for MD5 values.
r431 | A value which may represent, on the low end, the minimal or lower allowable amount; or, on the high end, the maximum or greatest allowable amount. The use of amount in this context may infer currency, though the classword may be applied to other instances. Limit class word (LMT) should have data type number
r432 | A set of characters that are normally printed or displayed as one horizontal row. For repeating groups use a sequential number after the class word. Example: ADDR_LN_1, ADDR_LN_2 Line class word (LN) should have data type varchar().
r433 | The proper term for a person, place or thing. Name class word (NM) should have data type varchar(100) or varchar(255).
r434 | Normally numeric data used to identify position, distinguish between items in a set, or do arithmetic computations on. Exceptions are for commonly used names like Policy Number, Telephone Number, and Social Security Number. Number class word (NUM) should have data type varchar() or number.
r435 | An image, document, multimedia, BLOB. Object class word (OBJ) should have data type BLOB.
r436 | The numeric ratio of 2 numbers multiplied by 100. Example: 75%. Percent class word (PCT) should have data type number.
r437 | Any proportion or share in relation to a whole. Example: .7500 Percentage class word (PCTG) should have data type number.
r438 | A value between 0 - 100 that indicates the percent of a distribution that is equal to it or below it. For example, a score at the 95th percentile is equal to or better than 95 percent of the scores. Percentile class word (PCTL) should have data type number.
r439 | Reflects a phrase that modifies the meaning of another word or business phrase. Qualifier class word (QUALR) should have data type string.
r440 | Reflects a specified number or amount (non-currency). Quantity class word (QTY) should have data type number.
r441 | Reflects the measure of dispersion equal to the difference or interval between the smallest and largest of a set of quantities. Range class word (RNG) should have data type number.
r442 | An amount per unit multiplier that can change over time. Rating class word (RT) should have data type number.
r443 | A fraction indicating a proportion between two like things. Ratio class word (RTO) should have data type number.
r444 | Unstructured data such as a note, free form comments or an explanation. Text class word (TXT) should have data type varchar().
r445 | Time stated in hours, minutes and seconds. Time class word (TM) should have data type time.
r446 | A combination of Date and Time. Timestamp class word (TS) should have data type datetime or timestamp.
r447 | A calendar year. Year class word (YR) should have data type number.
r448 | Starting in 2017, it was decided to only use Semantic View in table names.  See CCW Teradata Standards, section 5.5 View.
r449 | Redshift table should always have a Distribution Key DISTKEY.  
r451 | Redshift column Prior Data Store PDS_CRET_TS, if used, must also have PDS_UPDT_TS.
r452 | Redshift column Prior Data Store Channel Source Code is optional (PDS_CHNL_SRC_CD), but it it exists, the table must also have PDS_CRET_TS and PDS_UPDT_TS.
r453 | Redshift table should always have these audit columns: CRET_TS, UDPT_TS and LOAD_CTL_KEY.
r455 | A class word must have a modifier.  A class word with no token to the left is invalid.  Example:  column DESC with no modifier should be CLM_DESC or PROD_DESC etc.
r456 | Classword TY     (Type)        should have data type Varchar().
r454 | Classword TYP    (Type)        should have data type Varchar().
#
