# Filename: $SCRIPT_DIR/un_re/resources/cfg_Enterprise_Naming_Standards.lst
#
# Current Cigna Standard abbreviations and alternate abbreviations.  
# Used by erwin for logical to physical name transformation.  
# This file was overhauled in 2015.  
# Abbreviations and alternates are assigned by the DMCoE.
#
# word                                                                                      | abbr               
# ----------------------------------------------------------------------------------------- | -------------------
age related macular degeneration                                                            | AMD                
ambulatory medical record review                                                            | AMRR               
cigna evernorth payment platform                                                            | CEPP               
cigna health plan of los angeles                                                            | CHPLA              
commercial mail receiving agency                                                            | CMRA               
current procedural terminology 4                                                            | CPT4               
ethical and religious directives                                                            | ERD                
fellow life management institute                                                            | FLMI               
health care professional manager                                                            | HCPM               
health matters health engagement                                                            | HMHE               
hospital formulary pricing guide                                                            | HFPG               
paid financial claim transaction                                                            | PFCT               
patient recovery outcome measure                                                            | PROMSR             
preexisting condition limitation                                                            | PCL                
qualified clinical data registry                                                            | QCDR               
rxnorm concept unique identifier                                                            | RXCUI              
summary of benefits and coverage                                                            | SBC                
uniform system of classification                                                            | USC                
age discrimination equality act                                                             | ADEA               
americans with disabilities act                                                             | ADA                
anatomical therapeutic chemical                                                             | ATC                
automatic number identification                                                             | ANI                
berenson-eggers type of service                                                             | BETOS              
client specific network product                                                             | CSN_PRDT           
connecticut general corporation                                                             | CGC                
coverage determination platform                                                             | CDP                
data universal numbering system                                                             | DUNS               
drug enforcement administration                                                             | DEA                
endothelial receptor antagonist                                                             | ERA                
estimate of remaining liability                                                             | ERL                
experimental urgent extenuating                                                             | EIU                
federal financial participation                                                             | FFP                
health care facilitation center                                                             | HCFC               
health maintenance organization                                                             | HMO                
healthcare cost trend analytics                                                             | HCTA               
hewlett packard service manager                                                             | HPSM               
independent review organization                                                             | IRO                
integrated personal health team                                                             | IPHT               
long term services and supports                                                             | LTSS               
medicare beneficiary identifier                                                             | MBI                
mental health services research                                                             | MHSR               
native american alaskan natives                                                             | AIAN               
native american alaskan natives                                                             | NAAN               
oral health integration program                                                             | OHIP               
pharmacy customer cost schedule                                                             | PCCS               
physician quality review system                                                             | PQRS               
potentially avoidable admission                                                             | PAADMSN            
preferred provider organization                                                             | PPO                
prior colonoscopy within 1 year                                                             | PRI_CLNSCPY_1YR    
shared administration repricing                                                             | SAR                
statement of physical condition                                                             | SPC                
structured analytic environment                                                             | SAE                
supplemental premium inadequacy                                                             | SPI                
technical architecture practice                                                             | TAP                
automatically generated number                                                              | AGN                
behavioral health organization                                                              | BHO                
collaborative accountable care                                                              | CAC                
current procedural terminology                                                              | CPT                
database identification number                                                              | DBID               
dental network savings program                                                              | DNSP               
denver eligibility spreadsheet                                                              | DES                
employer identification number                                                              | EIN                
employment and community first                                                              | ECF                
enterprise code set management                                                              | ECSM               
express scripts inc identifier                                                              | ESIID              
external prosthetic appliances                                                              | EPA                
generic product packaging code                                                              | GPPC               
health and wellness incentives                                                              | HWI                
health matters care management                                                              | HMCM               
health transformation alliance                                                              | HTA                
healthy pregnancy healthy baby                                                              | HPHB               
hewitt health value initiative                                                              | HHVI               
individual placement agreement                                                              | IPA                
intraoperative cholangiography                                                              | IOCG               
nonsteroidal anti-inflammatory                                                              | NSA                
personal identification number                                                              | PID                
post traumatic stress disorder                                                              | PTSD               
primary sclerosing cholangitis                                                              | PSC                
sexual and reproductive health                                                              | SRH                
taxpayer identification number                                                              | TIN                
account branch benefit option                                                               | ABBO               
accountable care organization                                                               | ACO                
american hospital association                                                               | AHA                
american indian/alaska native                                                               | AIAN               
benefit description qualifier                                                               | BDQ                
congressional voting district                                                               | CNG_VTG_DST        
congressional voting district                                                               | CNGVTGDST          
development management system                                                               | DMS                
employee annual premium split                                                               | EAPS               
enterprise codeset management                                                               | ECSM               
enterprise content management                                                               | ECM                
experience protection benefit                                                               | EPB                
federated identity management                                                               | FIM                
field claim office management                                                               | FCOM               
geographic pricing cost index                                                               | GPCI               
gestational diabetes mellitus                                                               | GDM                
health and wellness reminders                                                               | HWR                
health plan management system                                                               | HPMS               
legal personal representative                                                               | LGLPRSNREP         
metropolitan statistical area                                                               | MSA                
minimum required distribution                                                               | MRD                
morphine milligram equivalent                                                               | MME                
patient centered medical home                                                               | PCMH               
premium stabilization reserve                                                               | PSR                
provider contracting database                                                               | PCD                
secure file transfer protocol                                                               | SFTP               
skilled care nursing facility                                                               | SCNF               
social determinants of health                                                               | SDOH               
specified cardiac arrhythmias                                                               | SPCRDARYTH         
statement of dental condition                                                               | SDC                
strategic partnership program                                                               | SPP                
universally unique identifier                                                               | UU_ID              
address verification service                                                                | AVS                
administrative services only                                                                | ASO                
admission discharge transfer                                                                | ADT                
american bankers association                                                                | ABA                
american medical association                                                                | AMA                
architectural building block                                                                | ABB                
automated facial recognition                                                                | AFR                
biologic license application                                                                | BLA                
central eligibility database                                                                | CED                
company universal repository                                                                | CURE               
computer assisted data entry                                                                | CADE               
coronary artery bypass graft                                                                | CABG               
dependent care reimbursement                                                                | DCR                
direct access storage device                                                                | DASD               
discount from billed charges                                                                | DFBILCH            
eligibility benefits inquiry                                                                | EBI                
essential community provider                                                                | ECP                
food and drug administration                                                                | FDA                
health insurance marketplace                                                                | HIM                
health reimbursement account                                                                | HRA                
health systems international                                                                | HSI                
healthplan funded assistance                                                                | HPFA               
hierarchical ingredient code                                                                | HICD               
human immunodeficiency virus                                                                | HIV                
international service center                                                                | ISC                
lifestyle management program                                                                | LMP                
national library of medicine                                                                | NLM                
national preferred formulary                                                                | NTLPF              
national provider identifier                                                                | NPI                
neonatal intensive care unit                                                                | NICU               
no precertification required                                                                | NPRQ               
positron emission tomography                                                                | PET                
prosthetics other appliances                                                                | POA                
protected health information                                                                | PHI                
second opinion data analysis                                                                | SODA               
sexually transmitted disease                                                                | STD                
specialty collaborative care                                                                | SCC                
united states postal service                                                                | USPS               
websphere application server                                                                | WAS                
acute myocardial infarction                                                                 | AMCI               
additional accident benefit                                                                 | AAB                
alternate member identifier                                                                 | AMI                
automatic call distribution                                                                 | ACD                
benefit adjudication engine                                                                 | BAE                
business process management                                                                 | BPM                
business process operations                                                                 | BPO                
cigna global health benefit                                                                 | CGHB               
common claim inquiry record                                                                 | CCIR               
consumer driven health plan                                                                 | CDHP               
core based statistical area                                                                 | CBSA               
cost containment adjustment                                                                 | CCA                
dental service organization                                                                 | DSO                
designated provider program                                                                 | DPP                
electronic data interchange                                                                 | EDI                
emergent urgent extenuating                                                                 | EUE                
employee assistance program                                                                 | EAP                
federal drug administration                                                                 | FDA                
flexible fee administration                                                                 | FFA                
healthcare decision support                                                                 | HDS                
high deductible health plan                                                                 | HDHP               
hospital acquired condition                                                                 | HOSP_ACQR_CONDN    
hospital acquired condition                                                                 | HAC                
hospital collaborative care                                                                 | HCC                
hypertext transfer protocol                                                                 | HTTP               
individual and family plans                                                                 | IFP                
intrusion prevention system                                                                 | IPS                
maximum reimbursable charge                                                                 | MRC                
missing information request                                                                 | MIR                
national boards of pharmacy                                                                 | NABP               
patient level authorization                                                                 | PLA                
personal credit information                                                                 | PCI                
personal health information                                                                 | PHI                
pharmacy specialty schedule                                                                 | PSS                
post polypectomy bleed rate                                                                 | PPBLDRT            
power managed health system                                                                 | PMHS               
provident preferred network                                                                 | PPN                
semantic clinical drug form                                                                 | SCDF               
supplemental health service                                                                 | SUPHLTHSVC         
therapeutic resource center                                                                 | TRC                
thyroid stimulating hormone                                                                 | TSH                
wholesaler acquisition cost                                                                 | WAC                
activities of daily living                                                                  | ADL                
administrative underwriter                                                                  | AU                 
advance premium tax credit                                                                  | APTC               
ambulatory surgery benefit                                                                  | ASB                
ambulatory surgical center                                                                  | ASC                
application services group                                                                  | ASG                
assistive listening device                                                                  | ALD                
automatic claim forwarding                                                                  | ACF                
average manufacturer price                                                                  | AMP                
center for disease control                                                                  | CDC                
consolidated claim payment                                                                  | CCP                
consumer health engagement                                                                  | CHE                
customer driven remittance                                                                  | CDR                
database management system                                                                  | DBMS               
diversity equity inclusion                                                                  | DEI                
electronic validation tool                                                                  | EVT                
eligibility service center                                                                  | ESC                
employee equal opportunity                                                                  | EEO                
employer group waiver plan                                                                  | EGWP               
enterprise pricing service                                                                  | ENTPS              
exclusive provider program                                                                  | EPP                
experience unit identifier                                                                  | EUI                
extract transform and load                                                                  | ETL                
field and account services                                                                  | FAS                
first fill pay and educate                                                                  | FFPAE              
frequently asked questions                                                                  | FAQ                
generic product identifier                                                                  | GPI                
glomerular filtration rate                                                                  | GFR                
group medical underwriting                                                                  | GMU                
individual and family plan                                                                  | IFP                
inflammatory bowel disease                                                                  | IBD                
integrated payment network                                                                  | IPN                
interactive voice response                                                                  | IVR                
magnetic resonance imaging                                                                  | MRISCAN            
medical house of knowledge                                                                  | MHK                
notice of benefits payable                                                                  | NOBP               
patient care collaboration                                                                  | PCC                
personal injury protection                                                                  | PIP                
post enrollment collateral                                                                  | PEC                
post treatment examination                                                                  | PTE                
preadmission certification                                                                  | PAC                
premium stabilization fund                                                                  | PSF                
prescription pricing guide                                                                  | PPG                
previous prior policy year                                                                  | PPPY               
prostate screening antigen                                                                  | PSA                
semiprivate accommodations                                                                  | SPA                
site of service outpatient                                                                  | SOSOP              
social security disability                                                                  | SSD                
stand alone networx pricer                                                                  | SANP               
statistical reporting area                                                                  | SRA                
summary health information                                                                  | SHI                
therapeutic classification                                                                  | TC                 
total permanent disability                                                                  | TPD                
